movie_id	rating	p_0	p_1	p_2	p_3	p_4	p_5	p_6	p_7	p_8	p_9	p_10	p_11	p_12	p_13	p_14	p_15	p_16	p_17	p_18	p_19
4227	8.1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
5313	7.9	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	2
9979	7.5	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	4	0	0
11223	7.1	0	0	1	0	2	0	0	0	0	0	0	0	4	0	0	2	1	0	0	0
19715	6.3	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
21180	7.2	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22751	6.0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
29782	8.1	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
29942	8.0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
30515	7.9	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30524	7.1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
31079	5.3	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0
31153	8.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
33121	7.9	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
33270	7.7	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0
41528	8.8	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
42093	7.2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
42224	6.2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0
42293	7.6	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	3
42361	8.1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42886	7.7	0	0	0	2	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0
43849	8.3	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
44122	8.3	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
44218	7.2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
44302	8.3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0
44366	6.7	1	0	0	0	0	0	0	0	0	2	2	0	4	0	0	1	0	0	0	0
44696	8.1	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0
44752	7.3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
