0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29
2.000 19435.000 0.000 0.000 1.000 15522.000 986.000 27616.000 27919.000 22737.000 242.000 12.000 0.000 29528.000 207.000 1.000 212.000 5647.000 863.000 0.000 1.000 148.000 2988.000 0.000 0.000 344.000 486.000 6.000 1.000 27638.000
0.000 11199.000 5.000 1.000 0.000 11452.000 321.000 23602.000 10715.000 17638.000 1490.000 1.000 0.000 14010.000 970.000 0.000 1911.000 111.000 72.000 0.000 0.000 103.000 148.000 0.000 0.000 4592.000 238.000 3.000 0.000 25240.000
3.000 65668.000 0.000 0.000 0.000 118887.000 1004.000 62701.000 16497.000 108225.000 506.000 1.000 0.000 55450.000 5044.000 0.000 19742.000 628.000 48.000 1.000 2.000 1532.000 6755.000 0.000 0.000 7506.000 79623.000 3.000 0.000 21743.000
2.000 12520.000 0.000 0.000 0.000 4047.000 414.000 10403.000 8467.000 17560.000 36.000 1.000 0.000 18835.000 166.000 3.000 209.000 3201.000 297.000 1.000 1.000 21.000 39.000 3.000 0.000 596.000 1022.000 3.000 0.000 13607.000
2.000 21411.000 0.000 0.000 0.000 19628.000 179.000 16091.000 10008.000 25169.000 57.000 4.000 0.000 46857.000 210.000 0.000 1427.000 6750.000 382.000 1.000 0.000 30923.000 494.000 1.000 0.000 650.000 23.000 1.000 1.000 16329.000
3.000 36975.000 0.000 0.000 0.000 12799.000 545.000 58247.000 58240.000 40364.000 48.000 0.000 0.000 47774.000 1792.000 0.000 1004.000 7629.000 232.000 0.000 0.000 1550.000 2522.000 1.000 0.000 6307.000 3504.000 0.000 0.000 47835.000
1.000 21628.000 1.000 0.000 1.000 30840.000 546.000 26401.000 14946.000 17671.000 94.000 2.000 0.000 19513.000 586.000 14.000 450.000 12419.000 18.000 3.000 0.000 275.000 2046.000 0.000 0.000 6012.000 5875.000 0.000 0.000 26606.000
1.000 10419.000 0.000 0.000 0.000 36279.000 3318.000 13321.000 13803.000 21102.000 185.000 0.000 0.000 21972.000 212.000 1.000 1520.000 1661.000 139.000 3.000 5.000 65.000 3920.000 0.000 1.000 39.000 20310.000 0.000 0.000 33105.000
2.000 74244.000 1.000 0.000 1.000 26574.000 331.000 71055.000 107593.000 135112.000 486.000 4.000 0.000 124285.000 7565.000 1.000 119.000 2779.000 79.000 0.000 1.000 285.000 1239.000 1.000 1.000 3956.000 637.000 3.000 0.000 30446.000
0.000 8335.000 0.000 0.000 0.000 7306.000 66.000 16687.000 6404.000 19027.000 976.000 0.000 0.000 10188.000 118.000 286.000 4048.000 21826.000 267.000 1.000 0.000 554.000 88.000 0.000 2.000 4106.000 65.000 3.000 0.000 9942.000
4.000 52204.000 1.000 0.000 0.000 20243.000 8417.000 59284.000 25079.000 31677.000 129.000 3.000 1.000 18836.000 49.000 58.000 75.000 45876.000 72.000 0.000 1.000 11171.000 235.000 0.000 0.000 7016.000 5964.000 0.000 1.000 30662.000
2.000 8230.000 1.000 0.000 0.000 4041.000 17.000 12975.000 7408.000 8788.000 24.000 0.000 0.000 11781.000 1835.000 0.000 3363.000 2404.000 10074.000 1.000 1.000 36.000 773.000 1.000 0.000 154.000 398.000 3.000 0.000 5382.000
6.000 376836.000 0.000 0.000 0.000 32366.000 61271.000 194486.000 160836.000 83108.000 324.000 1.000 0.000 145073.000 27413.000 2.000 162.000 1012.000 2490.000 0.000 1.000 608.000 1953.000 0.000 0.000 2010.000 1254.000 2.000 0.000 40836.000
11.000 6934.000 5.000 0.000 0.000 23198.000 16.000 17989.000 7247.000 21743.000 67.000 4.000 1.000 17820.000 47.000 1.000 512.000 358.000 141.000 35.000 0.000 4776.000 2786.000 7.000 12.000 138.000 616.000 41.000 0.000 17063.000
11.000 1093.000 0.000 2.000 1.000 365.000 47.000 5368.000 1548.000 4217.000 14.000 2.000 0.000 6714.000 33.000 1.000 101.000 2491.000 27.000 2.000 0.000 82.000 1349.000 1.000 0.000 496.000 958.000 1.000 30.000 6927.000
5.000 68224.000 3.000 1.000 0.000 15469.000 208.000 70688.000 49762.000 61693.000 25.000 2.000 0.000 155824.000 166.000 3.000 706.000 12725.000 209.000 0.000 0.000 44668.000 3945.000 0.000 1.000 6081.000 422.000 0.000 0.000 36829.000
2.000 27434.000 1.000 0.000 0.000 20600.000 12688.000 28171.000 13726.000 19400.000 78.000 0.000 0.000 17748.000 242.000 9.000 100.000 13400.000 11.000 2.000 1.000 4547.000 2254.000 0.000 0.000 40.000 1316.000 1.000 1.000 43919.000
4.000 59479.000 0.000 0.000 0.000 16809.000 10494.000 43220.000 11924.000 15379.000 48.000 5.000 0.000 21583.000 1514.000 1.000 145.000 405.000 41.000 3.000 0.000 299.000 2496.000 0.000 0.000 208.000 2525.000 7.000 0.000 18969.000
2.000 12476.000 2.000 0.000 0.000 9851.000 679.000 36792.000 18557.000 22851.000 48.000 0.000 0.000 33214.000 2662.000 0.000 2822.000 146.000 80.000 1.000 0.000 55.000 4424.000 0.000 0.000 2432.000 13835.000 5.000 0.000 38542.000
3.000 5213.000 0.000 0.000 0.000 94516.000 147.000 17379.000 9166.000 45263.000 53.000 1.000 1.000 22135.000 4215.000 13.000 74193.000 86.000 46.000 5.000 15.000 3290.000 9348.000 0.000 0.000 194.000 9217.000 4.000 0.000 29284.000
