0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29
0.000 2402.000 2.000 0.000 8.000 1838.000 47876.000 58677.000 16266.000 7254.000 6721.000 3.000 0.000 2264.000 2202.000 0.000 3066.000 6491.000 442.000 2.000 0.000 2520.000 26416.000 1.000 1.000 80688.000 3460.000 2.000 3.000 33927.000
6.000 87.000 1.000 1.000 6.000 2728.000 23657.000 49823.000 13782.000 17871.000 229.000 1.000 0.000 455.000 8240.000 1.000 56.000 93.000 1653.000 1.000 2.000 59.000 30771.000 0.000 1.000 53245.000 832.000 0.000 1.000 31304.000
3.000 1740.000 1.000 0.000 137.000 12646.000 140278.000 246342.000 19559.000 85964.000 896.000 2.000 1.000 3026.000 25950.000 15.000 1375.000 132.000 121.000 1.000 1.000 158.000 231273.000 0.000 0.000 213990.000 113694.000 2.000 0.000 90773.000
1.000 1794.000 1.000 0.000 9.000 270.000 30392.000 12969.000 8180.000 50130.000 62.000 1.000 0.000 42.000 38658.000 1.000 107.000 3320.000 177.000 102.000 0.000 67.000 19373.000 0.000 0.000 25118.000 230.000 0.000 0.000 13040.000
1.000 244.000 1.000 0.000 0.000 211.000 44634.000 41240.000 3846.000 24806.000 7078.000 3.000 0.000 1820.000 33071.000 0.000 449.000 712.000 75.000 1.000 1.000 68264.000 74965.000 2.000 0.000 72263.000 64.000 5.000 0.000 44848.000
3.000 1707.000 1.000 0.000 14.000 63.000 72480.000 110651.000 73948.000 33116.000 192.000 1.000 4.000 237.000 15778.000 35.000 287.000 13263.000 7290.000 9.000 1.000 1623.000 68719.000 0.000 1.000 173639.000 125.000 5.000 0.000 65916.000
5.000 137.000 1.000 0.000 2.000 536.000 42456.000 57134.000 16893.000 14552.000 11942.000 5.000 15.000 86.000 11998.000 51.000 3045.000 4133.000 4008.000 5.000 2.000 1404.000 41468.000 0.000 1.000 69441.000 7759.000 3.000 2.000 32293.000
5.000 291.000 3.000 0.000 2.000 7195.000 24437.000 44122.000 10060.000 71551.000 4492.000 1.000 0.000 34.000 45113.000 14.000 3589.000 94.000 356.000 6.000 0.000 99.000 63801.000 0.000 0.000 40578.000 26801.000 4.000 3.000 24828.000
26.000 708.000 7.000 0.000 1.000 52.000 107304.000 238646.000 107751.000 79458.000 76.000 7.000 11.000 989.000 244.000 40.000 185.000 91.000 626.000 0.000 9.000 167.000 178505.000 1.000 0.000 529777.000 116.000 1.000 1.000 150106.000
1.000 114.000 1.000 0.000 0.000 151.000 16822.000 35354.000 7166.000 6024.000 2883.000 7.000 0.000 1600.000 174.000 3.000 2165.000 667.000 2331.000 12.000 0.000 311.000 24842.000 1.000 0.000 34026.000 214.000 4.000 2.000 22497.000
9.000 313.000 0.000 0.000 2.000 328.000 92750.000 89390.000 10715.000 19865.000 69939.000 5.000 1.000 408.000 46257.000 5.000 112.000 18793.000 128.000 2.000 0.000 9972.000 37137.000 0.000 7.000 99541.000 106.000 3.000 3.000 37156.000
7.000 48.000 1.000 1.000 31.000 169.000 16699.000 20007.000 8426.000 22182.000 229.000 1.000 1.000 25.000 8313.000 0.000 1070.000 20.000 39174.000 1.000 0.000 590.000 15433.000 0.000 0.000 32126.000 883.000 6.000 0.000 12575.000
5.000 32399.000 1.000 0.000 1.000 600.000 880388.000 620122.000 127241.000 19273.000 1182.000 1.000 5.000 1197.000 126198.000 19.000 29.000 2053.000 34560.000 0.000 2.000 3971.000 155952.000 0.000 0.000 642693.000 46.000 4.000 0.000 163540.000
0.000 3158.000 0.000 0.000 0.000 742.000 2938.000 23676.000 4722.000 10419.000 323.000 1.000 1.000 175.000 64.000 0.000 344.000 22.000 55.000 2.000 0.000 15458.000 57222.000 1.000 0.000 47788.000 37.000 0.000 0.000 64366.000
1.000 20.000 1.000 0.000 0.000 61.000 530.000 6717.000 530.000 5958.000 2229.000 1.000 0.000 50.000 226.000 4.000 111.000 2603.000 143.000 0.000 0.000 31.000 6197.000 0.000 0.000 20346.000 997.000 0.000 0.000 13905.000
2.000 64.000 0.000 0.000 1.000 76.000 136288.000 156423.000 11835.000 22394.000 14107.000 5.000 0.000 21643.000 809.000 4.000 185.000 340.000 302.000 10.000 0.000 74121.000 68983.000 1.000 1.000 302311.000 2066.000 2.000 2.000 102205.000
3.000 515.000 0.000 0.000 22.000 1440.000 54838.000 57804.000 16157.000 15353.000 45454.000 2.000 1.000 113.000 39856.000 17.000 3460.000 2866.000 117.000 3.000 1.000 16537.000 29184.000 0.000 0.000 83984.000 4011.000 1.000 1.000 21773.000
3.000 68.000 4.000 0.000 1.000 4781.000 131953.000 147053.000 7778.000 6477.000 7750.000 2.000 0.000 15.000 34461.000 1.000 39.000 78.000 105.000 23.000 2.000 14996.000 47309.000 1.000 1.000 50044.000 1760.000 12.000 0.000 40663.000
3.000 469.000 1.000 1.000 11.000 543.000 17558.000 83895.000 26768.000 29335.000 1298.000 6.000 0.000 174.000 35571.000 18.000 10542.000 1300.000 1234.000 9.000 0.000 5504.000 53388.000 0.000 0.000 49025.000 10468.000 1.000 3.000 46246.000
4.000 215.000 0.000 0.000 2.000 29774.000 34183.000 57619.000 130.000 46637.000 7204.000 7.000 0.000 357.000 25048.000 11.000 105384.000 46.000 29.000 2.000 1.000 9309.000 144996.000 0.000 0.000 43817.000 7246.000 2.000 0.000 53804.000
