0	0.0 2402.0 2.0 0.0 8.0 1838.0 47876.0 58677.0 16266.0 7254.0 6721.0 3.0 0.0 2264.0 2202.0 0.0 3066.0 6491.0 442.0 2.0 0.0 2520.0 26416.0 1.0 1.0 80688.0 3460.0 2.0 3.0 33927.0 2.0 19435.0 0.0 0.0 1.0 15522.0 986.0 27616.0 27919.0 22737.0 242.0 12.0 0.0 29528.0 207.0 1.0 212.0 5647.0 863.0 0.0 1.0 148.0 2988.0 0.0 0.0 344.0 486.0 6.0 1.0 27638.0 4471.0 3.0 615.0 2198.0 2077.0 4.0 4.0 1.0 2.0 0.0 3.0 13444.0 775.0 4.0 6.0 360.0 2.0 2.0 3.0 1283.0 3676.0 4.0 0.0 11292.0 768.0 0.0 4.0 179.0 152138.0 2.0
1	6.0 87.0 1.0 1.0 6.0 2728.0 23657.0 49823.0 13782.0 17871.0 229.0 1.0 0.0 455.0 8240.0 1.0 56.0 93.0 1653.0 1.0 2.0 59.0 30771.0 0.0 1.0 53245.0 832.0 0.0 1.0 31304.0 0.0 11199.0 5.0 1.0 0.0 11452.0 321.0 23602.0 10715.0 17638.0 1490.0 1.0 0.0 14010.0 970.0 0.0 1911.0 111.0 72.0 0.0 0.0 103.0 148.0 0.0 0.0 4592.0 238.0 3.0 0.0 25240.0 3980.0 6.0 465.0 1485.0 2199.0 9.0 3.0 5.0 3.0 1.0 1.0 8087.0 1007.0 10.0 1.0 237.0 3.0 5.0 2.0 967.0 5713.0 11.0 1.0 5543.0 108169.0 0.0 1.0 289.0 1824.0 0.0
2	3.0 1740.0 1.0 0.0 137.0 12646.0 140278.0 246342.0 19559.0 85964.0 896.0 2.0 1.0 3026.0 25950.0 15.0 1375.0 132.0 121.0 1.0 1.0 158.0 231273.0 0.0 0.0 213990.0 113694.0 2.0 0.0 90773.0 3.0 65668.0 0.0 0.0 0.0 118887.0 1004.0 62701.0 16497.0 108225.0 506.0 1.0 0.0 55450.0 5044.0 0.0 19742.0 628.0 48.0 1.0 2.0 1532.0 6755.0 0.0 0.0 7506.0 79623.0 3.0 0.0 21743.0 171690.0 7.0 89.0 1993.0 18719.0 45.0 1.0 1.0 41.0 4.0 5.0 69953.0 604.0 8.0 1.0 531.0 32.0 8.0 3.0 10778.0 20500.0 2.0 10.0 14445.0 1781.0 1.0 8.0 319.0 1552.0 6.0
3	1.0 1794.0 1.0 0.0 9.0 270.0 30392.0 12969.0 8180.0 50130.0 62.0 1.0 0.0 42.0 38658.0 1.0 107.0 3320.0 177.0 102.0 0.0 67.0 19373.0 0.0 0.0 25118.0 230.0 0.0 0.0 13040.0 2.0 12520.0 0.0 0.0 0.0 4047.0 414.0 10403.0 8467.0 17560.0 36.0 1.0 0.0 18835.0 166.0 3.0 209.0 3201.0 297.0 1.0 1.0 21.0 39.0 3.0 0.0 596.0 1022.0 3.0 0.0 13607.0 5978.0 2.0 45.0 2325.0 6056.0 6.0 3.0 2.0 2.0 10.0 3.0 10968.0 1538.0 5.0 1.0 368.0 0.0 4.0 5.0 1522.0 5858.0 1.0 2.0 31006.0 1387.0 2.0 4.0 288.0 182.0 8.0
4	1.0 244.0 1.0 0.0 0.0 211.0 44634.0 41240.0 3846.0 24806.0 7078.0 3.0 0.0 1820.0 33071.0 0.0 449.0 712.0 75.0 1.0 1.0 68264.0 74965.0 2.0 0.0 72263.0 64.0 5.0 0.0 44848.0 2.0 21411.0 0.0 0.0 0.0 19628.0 179.0 16091.0 10008.0 25169.0 57.0 4.0 0.0 46857.0 210.0 0.0 1427.0 6750.0 382.0 1.0 0.0 30923.0 494.0 1.0 0.0 650.0 23.0 1.0 1.0 16329.0 10605.0 2.0 632.0 1992.0 4667.0 3.0 3.0 3.0 3.0 1.0 3.0 38645.0 1597.0 105.0 1.0 1027.0 4.0 7.0 2.0 3786.0 6459.0 70.0 6.0 13320.0 3326.0 1.0 5.0 5755.0 3023.0 10.0
5	3.0 1707.0 1.0 0.0 14.0 63.0 72480.0 110651.0 73948.0 33116.0 192.0 1.0 4.0 237.0 15778.0 35.0 287.0 13263.0 7290.0 9.0 1.0 1623.0 68719.0 0.0 1.0 173639.0 125.0 5.0 0.0 65916.0 3.0 36975.0 0.0 0.0 0.0 12799.0 545.0 58247.0 58240.0 40364.0 48.0 0.0 0.0 47774.0 1792.0 0.0 1004.0 7629.0 232.0 0.0 0.0 1550.0 2522.0 1.0 0.0 6307.0 3504.0 0.0 0.0 47835.0 8051.0 12.0 24.0 2019.0 8036.0 3.0 21.0 10.0 14.0 29.0 3.0 20262.0 837.0 13.0 6.0 929.0 30.0 2.0 3.0 1787.0 311892.0 26.0 6.0 9546.0 1612.0 9.0 18.0 1477.0 562.0 4.0
6	5.0 137.0 1.0 0.0 2.0 536.0 42456.0 57134.0 16893.0 14552.0 11942.0 5.0 15.0 86.0 11998.0 51.0 3045.0 4133.0 4008.0 5.0 2.0 1404.0 41468.0 0.0 1.0 69441.0 7759.0 3.0 2.0 32293.0 1.0 21628.0 1.0 0.0 1.0 30840.0 546.0 26401.0 14946.0 17671.0 94.0 2.0 0.0 19513.0 586.0 14.0 450.0 12419.0 18.0 3.0 0.0 275.0 2046.0 0.0 0.0 6012.0 5875.0 0.0 0.0 26606.0 10519.0 1.0 256.0 1543.0 3532.0 4.0 1.0 2.0 2.0 5.0 0.0 13085.0 182150.0 2.0 0.0 641.0 2.0 2.0 10.0 3151.0 4062.0 2.0 0.0 4042.0 1303.0 1.0 2.0 56.0 959.0 1.0
7	5.0 291.0 3.0 0.0 2.0 7195.0 24437.0 44122.0 10060.0 71551.0 4492.0 1.0 0.0 34.0 45113.0 14.0 3589.0 94.0 356.0 6.0 0.0 99.0 63801.0 0.0 0.0 40578.0 26801.0 4.0 3.0 24828.0 1.0 10419.0 0.0 0.0 0.0 36279.0 3318.0 13321.0 13803.0 21102.0 185.0 0.0 0.0 21972.0 212.0 1.0 1520.0 1661.0 139.0 3.0 5.0 65.0 3920.0 0.0 1.0 39.0 20310.0 0.0 0.0 33105.0 5956.0 2.0 270.0 1860.0 4366.0 9.0 1.0 0.0 3.0 5.0 0.0 11888.0 503.0 0.0 2.0 808.0 6.0 2.0 3.0 135965.0 5300.0 3.0 2.0 8033.0 934.0 0.0 2.0 26.0 573.0 2.0
8	26.0 708.0 7.0 0.0 1.0 52.0 107304.0 238646.0 107751.0 79458.0 76.0 7.0 11.0 989.0 244.0 40.0 185.0 91.0 626.0 0.0 9.0 167.0 178505.0 1.0 0.0 529777.0 116.0 1.0 1.0 150106.0 2.0 74244.0 1.0 0.0 1.0 26574.0 331.0 71055.0 107593.0 135112.0 486.0 4.0 0.0 124285.0 7565.0 1.0 119.0 2779.0 79.0 0.0 1.0 285.0 1239.0 1.0 1.0 3956.0 637.0 3.0 0.0 30446.0 54109.0 3.0 1095.0 2726.0 13817.0 30.0 0.0 29.0 11.0 9.0 3.0 193767.0 51.0 5.0 1.0 276.0 4.0 22.0 20.0 7723.0 15594.0 25.0 6.0 17859.0 2205.0 3.0 16.0 44.0 3511.0 16.0
9	1.0 114.0 1.0 0.0 0.0 151.0 16822.0 35354.0 7166.0 6024.0 2883.0 7.0 0.0 1600.0 174.0 3.0 2165.0 667.0 2331.0 12.0 0.0 311.0 24842.0 1.0 0.0 34026.0 214.0 4.0 2.0 22497.0 0.0 8335.0 0.0 0.0 0.0 7306.0 66.0 16687.0 6404.0 19027.0 976.0 0.0 0.0 10188.0 118.0 286.0 4048.0 21826.0 267.0 1.0 0.0 554.0 88.0 0.0 2.0 4106.0 65.0 3.0 0.0 9942.0 3586.0 6.0 97092.0 1513.0 797.0 4.0 3.0 2.0 5.0 4.0 0.0 4924.0 473.0 4.0 2.0 1229.0 12.0 2.0 3.0 947.0 3347.0 1.0 2.0 5363.0 291.0 2.0 2.0 81.0 893.0 7.0
