0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29
4471.000 3.000 615.000 2198.000 2077.000 4.000 4.000 1.000 2.000 0.000 3.000 13444.000 775.000 4.000 6.000 360.000 2.000 2.000 3.000 1283.000 3676.000 4.000 0.000 11292.000 768.000 0.000 4.000 179.000 152138.000 2.000
3980.000 6.000 465.000 1485.000 2199.000 9.000 3.000 5.000 3.000 1.000 1.000 8087.000 1007.000 10.000 1.000 237.000 3.000 5.000 2.000 967.000 5713.000 11.000 1.000 5543.000 108169.000 0.000 1.000 289.000 1824.000 0.000
171690.000 7.000 89.000 1993.000 18719.000 45.000 1.000 1.000 41.000 4.000 5.000 69953.000 604.000 8.000 1.000 531.000 32.000 8.000 3.000 10778.000 20500.000 2.000 10.000 14445.000 1781.000 1.000 8.000 319.000 1552.000 6.000
5978.000 2.000 45.000 2325.000 6056.000 6.000 3.000 2.000 2.000 10.000 3.000 10968.000 1538.000 5.000 1.000 368.000 0.000 4.000 5.000 1522.000 5858.000 1.000 2.000 31006.000 1387.000 2.000 4.000 288.000 182.000 8.000
10605.000 2.000 632.000 1992.000 4667.000 3.000 3.000 3.000 3.000 1.000 3.000 38645.000 1597.000 105.000 1.000 1027.000 4.000 7.000 2.000 3786.000 6459.000 70.000 6.000 13320.000 3326.000 1.000 5.000 5755.000 3023.000 10.000
8051.000 12.000 24.000 2019.000 8036.000 3.000 21.000 10.000 14.000 29.000 3.000 20262.000 837.000 13.000 6.000 929.000 30.000 2.000 3.000 1787.000 311892.000 26.000 6.000 9546.000 1612.000 9.000 18.000 1477.000 562.000 4.000
10519.000 1.000 256.000 1543.000 3532.000 4.000 1.000 2.000 2.000 5.000 0.000 13085.000 182150.000 2.000 0.000 641.000 2.000 2.000 10.000 3151.000 4062.000 2.000 0.000 4042.000 1303.000 1.000 2.000 56.000 959.000 1.000
5956.000 2.000 270.000 1860.000 4366.000 9.000 1.000 0.000 3.000 5.000 0.000 11888.000 503.000 0.000 2.000 808.000 6.000 2.000 3.000 135965.000 5300.000 3.000 2.000 8033.000 934.000 0.000 2.000 26.000 573.000 2.000
54109.000 3.000 1095.000 2726.000 13817.000 30.000 0.000 29.000 11.000 9.000 3.000 193767.000 51.000 5.000 1.000 276.000 4.000 22.000 20.000 7723.000 15594.000 25.000 6.000 17859.000 2205.000 3.000 16.000 44.000 3511.000 16.000
3586.000 6.000 97092.000 1513.000 797.000 4.000 3.000 2.000 5.000 4.000 0.000 4924.000 473.000 4.000 2.000 1229.000 12.000 2.000 3.000 947.000 3347.000 1.000 2.000 5363.000 291.000 2.000 2.000 81.000 893.000 7.000
5627.000 3.000 148.000 344586.000 1959.000 1.000 0.000 4.000 2.000 2.000 0.000 25822.000 652.000 3.000 1.000 336.000 6.000 3.000 2.000 1918.000 3312.000 8.000 1.000 11369.000 733.000 2.000 1.000 88.000 2039.000 4.000
4209.000 1.000 466.000 1324.000 2740.000 3.000 0.000 9.000 5.000 12.000 0.000 11902.000 783.000 2.000 2.000 1480.000 1.000 3.000 11.000 1482.000 8007.000 6.000 2.000 6770.000 644.000 2.000 1.000 53.000 2085.000 3.000
29749.000 8.000 194.000 5763.000 21002.000 26.000 4.000 11.000 201.000 48.000 1.000 358725.000 410.000 8.000 11.000 101.000 28.000 8.000 37.000 2986.000 33988.000 7.000 3.000 30107.000 5324.000 13.000 37.000 38.000 9099.000 16.000
11287.000 2.000 776.000 1774.000 3683.000 0.000 3.000 4.000 2.000 6.000 0.000 13834.000 488.000 6.000 2.000 510.000 3.000 13.000 1.000 1588.000 6493.000 4.000 1.000 14847.000 1203.000 1.000 0.000 2592.000 46.000 0.000
2675.000 1.000 207.000 3658.000 1314.000 3.000 0.000 3.000 0.000 0.000 1.000 4860.000 973.000 1.000 0.000 442.000 0.000 0.000 0.000 1436.000 2459.000 0.000 0.000 9239.000 1288.000 0.000 1.000 98.000 483.000 1.000
11083.000 6.000 200.000 3694.000 7316.000 14.000 4.000 11.000 1.000 2.000 5.000 51073.000 35.000 5.000 2.000 522.000 6.000 6.000 9.000 2769.000 7917.000 40.000 5.000 337029.000 2779.000 5.000 5.000 58.000 70.000 15.000
6554.000 5.000 237.000 1069.000 2948.000 4.000 0.000 1.000 7.000 1.000 1.000 19220.000 288.000 2.000 0.000 279191.000 2.000 4.000 0.000 1804.000 3479.000 20.000 7.000 4131.000 1336.000 4.000 0.000 42.000 862.000 5.000
12892.000 6.000 570.000 1682.000 4243.000 4.000 1.000 2.000 2.000 22.000 0.000 35177.000 600.000 2.000 8.000 631.000 2.000 9.000 49.000 2709.000 6147.000 3.000 0.000 18026.000 2860.000 9.000 2.000 3447.000 1390.000 3.000
5462.000 4.000 224.000 662.000 206066.000 1.000 5.000 6.000 1.000 0.000 0.000 16432.000 476.000 4.000 0.000 211.000 5.000 6.000 3.000 2077.000 5460.000 4.000 4.000 11650.000 1217.000 1.000 6.000 190.000 1741.000 3.000
17023.000 9.000 625.000 2662.000 13657.000 9.000 2.000 7.000 8.000 10.000 1.000 14489.000 1244.000 6.000 12.000 2059.000 247.000 68.000 21.000 6512.000 8805.000 9.000 12.000 13055.000 1485.000 4.000 8.000 95680.000 2367.000 162.000
